origin;-;baidu;-;google;-;bing;-;Label
The old rule started to seem dated and out of place .;-;旧规则开始显得过时和不合适。;-;旧规则开始显得过时和格格不入。;-;旧规则开始显得过时和不合时宜。;-;1-2;1-3;2-3
Holmes settled with the SEC , agreeing to pay a fine and give up her voting control over Theranos , but she and the company did not admit to any wrongdoing .;-;霍姆斯与美国证券交易委员会达成和解，同意支付罚款，并放弃对瑟拉诺斯的投票控制权，但她和该公司均未承认有任何不当行为。;-;Holmes与SEC达成和解，同意支付罚款并放弃对Theranos的投票控制权，但她和公司并未承认有任何不当行为。;-;福尔摩斯与美国证券交易委员会达成和解，同意支付罚款并放弃对Theranos的投票控制权，但她和公司没有承认任何不当行为。;-;1-2;1-3;2-3
A lawyer for Elizabeth Holmes declined to comment for this story .;-;伊丽莎白·霍姆斯的一名律师拒绝就此事置评。;-;伊丽莎白霍姆斯的一位律师拒绝对此事发表评论。;-;伊丽莎白·福尔摩斯的律师拒绝对此事发表评论。;-;1-2;1-3;2-3
Since getting his PhD at the University of Minnesota in 1993 , he has churned out papers on subjects like home prices , government procurement , auctions and collusion .;-;自从1993在明尼苏达大学获得博士学位后，他就发表了有关房价、政府采购、拍卖和勾结等问题的论文。;-;自从1993年在明尼苏达大学获得博士学位以来，他大量发表了有关房价、政府采购、拍卖和勾结等主题的论文。;-;自1993年在明尼苏达大学获得博士学位以来，他撰写了大量关于房价、政府采购、拍卖和串通等主题的论文。;-;2-3;1x2;1x3
You should be agonizingly jealous of the sorts of problems we work on and the almost anxiety provoking magnitude of data with which we get to work .;-;你应该痛苦地嫉妒我们处理的各种问题，以及我们要处理的几乎令人焦虑的大量数据。;-;你应该非常嫉妒我们处理的各种问题，以及我们处理的几乎令人焦虑的数据量。;-;你应该痛苦地嫉妒我们处理的各种问题，以及我们工作时几乎引起焦虑的大量数据。;-;1x2;1x3;2x3
Tired of hearing that she was too introverted , Chan pushed herself out of her comfort zone when she started attending Stanford University for undergrad .;-;陈冯富珍听腻了自己过于内向的说法，当她开始进入斯坦福大学读本科时，她把自己挤出了舒适区。;-;厌倦了听到她太内向的声音，当她开始在斯坦福大学读本科时，她把自己推离了自己的舒适区。;-;陈厌倦了听到自己太内向，当她开始进入斯坦福大学读本科时，她把自己推出了自己的舒适区。;-;1x2;1x3;2x3
The cool confidence Chan has become known for did not always come easily .;-;陈冯富珍以其冷静自信而闻名，但这种自信并非总是来得容易。;-;成龙出名的冷静自信并非总是一帆风顺。;-;Chan所闻名的冷静自信并不总是那么容易。;-;1x2;1x3;2x3
It declined to ground the jet .;-;它拒绝让飞机着陆。;-;它拒绝让这架飞机停飞。;-;它拒绝将喷气式飞机停飞。;-;2-3;1x2;1x3
The employee , who has since taken a new job , admits this time off was a luxury most may not have had .;-;这名雇员后来接受了一份新工作，他承认这次休假是大多数人可能没有的奢侈。;-;此后换了一份新工作的员工承认，这次休假是大多数人可能没有的奢侈。;-;这位员工后来接受了一份新工作，他承认这次休假是大多数人可能没有的奢侈。;-;1-3;1x2;2x3
The headlines in the papers called it the ' Deadly 727 . ';-;报纸的头条称之为“致命的727”;-;报纸的头条新闻称其为“致命的727”。;-;报纸的标题称其为"致命的727"。;-;1-2;1x3;2x3
An endless job search compounded by fears of being blacklisted by certain businesses .;-;无休止的求职，再加上担心被某些企业列入黑名单。;-;由于担心被某些企业列入黑名单，无休止的求职变得更加复杂。;-;无休止的求职加上对被某些企业列入黑名单的担忧。;-;1-3;1x2;2x3
Other tech companies that also make effective use of economists — like Uber , which has a 30 person team — speak with frank admiration of the apparatus Amazon has built .;-;其他也有效利用经济学家的科技公司——比如优步，它有一个30人的团队——坦率地对亚马逊建立的机器表示钦佩。;-;其他也有效利用经济学家的科技公司——比如拥有30人团队的优步——坦率地表达了对亚马逊建立的设备的钦佩之情。;-;其他也有效利用经济学家的科技公司——比如拥有30人团队的Uber——坦率地钦佩亚马逊建立的机器。;-;1-3;1x2;2x3
They kind of make the point that economists have more specific skill sets that are better suited for a lot of business problems , the former Amazon staffer said .;-;这名前亚马逊员工说，他们的观点是，经济学家拥有更具体的技能，更适合解决许多商业问题。;-;这位前亚马逊员工说，他们有点表明经济学家拥有更具体的技能组合，更适合解决许多商业问题。;-;他们有点指出，经济学家拥有更具体的技能，更适合许多商业问题，这位前亚马逊员工说。;-;1x2;1x3;2x3
And do not forget about your body language when receiving the compliment .;-;在接受赞美时，不要忘记你的肢体语言。;-;接受赞美时不要忘记你的肢体语言。;-;在接受赞美时，不要忘记你的肢体语言。;-;1-2;1-3;2-3
From our perspective , this potential merger would not create a business model that is sustainable long term , added Duscheck , who is a member of Deutsche Bank ' s supervisory board .;-;德意志银行监事会成员杜斯切克补充说，从我们的角度来看，这种潜在的合并不会创造一种长期可持续的商业模式。;-;德意志银行监事会成员Duscheck补充说，从我们的角度来看，这种潜在的合并不会创造一种长期可持续的商业模式。;-;从我们的角度来看，这种潜在的合并不会创造一个长期可持续的商业模式，德意志银行监事会成员Duscheck补充道。;-;1-2;1-3;2-3
And probing questions from outsiders on how they could ever have worked at the disgraced company .;-;以及探讨外界对他们如何能在这家不光彩的公司工作的质疑。;-;并探究外界关于他们如何在这家不光彩的公司工作的问题。;-;并探查来自外部人士的问题，即他们如何才能在这家不光彩的公司工作。;-;1-2;1x3;2x3
The investigators were right that the airplane itself was safe .;-;调查人员认为飞机本身是安全的，这是对的。;-;调查人员正确地认为飞机本身是安全的。;-;调查人员说得对，飞机本身是安全的。;-;1x2;1x3;2x3
Patrick O'Neill , the former chief creative officer at Theranos from 2014 to 2017 , said he has removed much of his promotional work for the company from his professional website .;-;2014年至2017年担任Theranos首席创意官的帕特里克·奥尼尔表示，他已经从自己的专业网站上删除了为该公司做的大部分宣传工作。;-;2014年至2017年担任Theranos前首席创意官的PatrickO'Neill表示，他已经从他的专业网站上删除了他为公司所做的大部分宣传工作。;-;2014年至2017年担任Theranos前首席创意官的帕特里克·奥尼尔表示，他已经从自己的专业网站上删除了为该公司所做的大部分宣传工作。;-;1-2;1-3;2-3
From November 2016 to September 2018 , the company was hit with five discrimination lawsuits and charges from civil rights and labor organizations , workers and individuals .;-;从2016年11月到2018年9月，该公司遭受了来自民权和劳工组织、工人和个人的五起歧视诉讼和指控。;-;从2016年11月到2018年9月，该公司受到了来自民权和劳工组织、工人和个人的五起歧视诉讼和指控。;-;从2016年11月到2018年9月，该公司遭到了五起歧视诉讼以及来自民权和劳工组织、工人和个人的指控。;-;1-2;1-3;2-3
First , proper training for pilots who are flying new aircraft is crucially important .;-;首先，对驾驶新飞机的飞行员进行适当的培训至关重要。;-;首先，对驾驶新飞机的飞行员进行适当的培训至关重要。;-;首先，对驾驶新飞机的飞行员进行适当的培训至关重要。;-;1-2;1-3;2-3
Advertisers who are not creating housing , employment or credit ads will still be able to target users based on those categories .;-;不制作住房、就业或信用广告的广告商仍将能够根据这些类别瞄准用户。;-;不制作住房、就业或信贷广告的广告商仍然可以根据这些类别定位用户。;-;未制作住房、就业或信用广告的广告客户仍可以根据这些类别定位用户。;-;2-3;1x2;1x3
Unlike economists in academia or government , the work of Amazon ' s economists is almost entirely secret , and staff are required to sign non disclosure agreements to keep it that way .;-;与学术界或政府部门的经济学家不同，亚马逊经济学家的工作几乎完全保密，员工需要签署保密协议才能保密。;-;与学术界或政府的经济学家不同，亚马逊经济学家的工作几乎完全保密，员工必须签署保密协议才能保密。;-;与学术界或政府的经济学家不同，亚马逊经济学家的工作几乎完全是秘密的，工作人员必须签署保密协议才能保持这种状态。;-;1-2;1x3;2x3
Anxiety over flying on Boeing ' s 737 Max planes reached a fever pitch after the crash in Ethiopia .;-;在埃塞俄比亚坠机后，人们对乘坐波音737Max飞机的焦虑达到了狂热的程度。;-;埃塞俄比亚坠机事件发生后，对乘坐波音737Max飞机的焦虑达到了高潮。;-;在埃塞俄比亚坠机事件发生后，对乘坐波音737Max飞机的焦虑达到了狂热的程度。;-;1-2;1-3;2-3
And happily , I was not in the book .;-;幸运的是，我不在书中。;-;幸运的是，我不在书中。;-;令人高兴的是，我没有出现在书中。;-;1-2;1x3;2x3
As the day draws nearer , we need to recognize that there are risks that are out of the sector ' s control , said Omar Ali , head of UK financial services at EY .;-;安永英国金融服务主管奥马尔·阿里表示：随着时间的临近，我们需要认识到，该行业存在着无法控制的风险。;-;安永英国金融服务主管奥马尔·阿里表示，随着这一天的临近，我们需要认识到该行业存在无法控制的风险。;-;随着这一天越来越近，我们需要认识到，存在超出该行业控制范围的风险，安永英国金融服务主管奥马尔·阿里表示。;-;1-2;1-3;2-3
A simple response of thank you very much , I appreciate you saying that or thank you , I worked very hard on it can suffice .;-;一个简单的回答非常感谢，我很感谢你这么说，或者说谢谢你，我非常努力就足够了。;-;一个简单的非常感谢你的回复，我很感激你这么说或者谢谢你，我努力工作就足够了。;-;一个简单的回应非常感谢你，我很欣赏你说或谢谢你，我非常努力地工作就足够了。;-;1-2;1x3;2x3
But some former employees say they too were left in the dark , both about the viability of the technology and the financial health of the company .;-;但一些前雇员表示，他们也对技术的可行性和公司的财务状况一无所知。;-;但一些前员工表示，他们也对技术的可行性和公司的财务状况一无所知。;-;但一些前员工表示，他们也对技术的可行性和公司的财务状况一无所知。;-;1-2;1-3;2-3
Daryl Fairweather joined the company soon after receiving her PhD in economics from the University of Chicago in 2014 .;-;DarylFairweather于2014从芝加哥大学获得经济学博士学位后不久就加入了该公司。;-;DarylFairweather在2014年获得芝加哥大学经济学博士学位后不久就加入了公司。;-;DarylFairweather在2014年获得芝加哥大学经济学博士学位后不久就加入了公司。;-;1-2;1-3;2-3
They 're doing something completely different .;-;他们在做完全不同的事情。;-;他们正在做一些完全不同的事情。;-;他们正在做一些完全不同的事情。;-;1-2;1-3;2-3
The other big draw : Even though the work Amazon ' s economists do may never see the light of day , within the company , it influences decisions that affect millions of people .;-;另一个巨大的吸引力是：尽管亚马逊的经济学家所做的工作可能永远看不到曙光，但在公司内部，它影响着影响数百万人的决策。;-;另一大吸引力：尽管亚马逊经济学家所做的工作可能永远不会出现在公司内部，但它影响着影响数百万人的决策。;-;另一个重要的吸引力是：尽管亚马逊的经济学家所做的工作可能永远不会看到曙光，但在公司内部，它影响了影响数百万人的决策。;-;1x2;1x3;2x3
The number of jobs that will be relocated out of the United Kingdom in the near future stands at 7,000 , according to EY .;-;安永的数据显示，在不久的将来，英国将有7000个工作岗位迁出英国。;-;据安永称，在不久的将来，将有7,000个工作岗位从英国迁出。;-;根据安永的数据，在不久的将来，将迁出英国的工作岗位数量为7，000个。;-;1x2;1x3;2x3
It is believed in the field that Amazon employs more PhD economists than any other tech company .;-;在该领域，人们相信亚马逊雇佣的博士经济学家比任何其他科技公司都多。;-;在该领域，人们认为亚马逊雇佣的博士经济学家比任何其他科技公司都多。;-;在该领域，人们相信亚马逊雇用的博士经济学家比其他任何科技公司都多。;-;1-2;1-3;2-3
They are in charge of their routines , and they can find all the information they need from their friends or from other women in the world and online .;-;她们负责自己的日常生活，她们可以从朋友或世界上其他女性和网上找到自己需要的所有信息。;-;她们负责自己的日常生活，她们可以从朋友或世界上其他女性以及网上找到她们需要的所有信息。;-;她们负责自己的日常工作，她们可以从朋友或世界上和网上的其他女性那里找到所需的所有信息。;-;1-2;1-3;2-3
Feedback , both negative and positive , should be a frequent occurrence in the workplace .;-;反馈，无论是正面的还是负面的，都应该经常出现在工作场所。;-;反馈，无论是消极的还是积极的，都应该在工作场所经常发生。;-;反馈，无论是消极的还是积极的，都应该是工作场所的频繁发生。;-;1-2;1x3;2x3
The former employee is now looking for new career opportunities outside their field of expertise after hitting a road block in the job search .;-;这位前雇员在求职过程中遇到了障碍，现在正在寻找专业领域之外的新职业机会。;-;这位前员工在求职遇到障碍后，现在正在寻找其专业领域之外的新职业机会。;-;这位前员工在求职中遇到障碍后，现在正在寻找专业领域以外的新职业机会。;-;1-2;1-3;2-3
But Boeing did get past the 727 crisis .;-;但波音确实度过了727危机。;-;但波音确实度过了727危机。;-;但波音确实度过了727危机。;-;1-2;1-3;2-3
A merger is one potential way forward ; other options include a complete retreat from Wall Street ( more likely ) or major new investment in the investment bank ( less likely ) .;-;合并是一个潜在的前进方向；其他选择包括完全退出华尔街（可能性更大）或对投资银行进行重大新投资（可能性更小）。;-;合并是一种潜在的前进方式；其他选择包括完全撤出华尔街（更有可能）或对投资银行进行重大新投资（不太可能）。;-;合并是一种潜在的前进方向。其他选择包括完全退出华尔街（更有可能）或对投资银行的重大新投资（不太可能）。;-;1-2;1-3;2-3
And this would take us closer to our goal of a truly European banking sector .;-;这将使我们更接近真正欧洲银行业的目标。;-;这将使我们更接近我们真正的欧洲银行业的目标。;-;这将使我们更接近真正的欧洲银行业的目标。;-;1-2;1-3;2-3
When you do not acknowledge the positive feedback you have been given , it will contribute unconsciously to the narrative that you are not as capable as you might really be , said Aced Molina .;-;阿塞德·莫利纳说，如果你不承认别人给了你积极的反馈，就会在不知不觉中让人觉得你没有真正的能力。;-;AcedMolina说，当你不承认你得到的积极反馈时，它会在不知不觉中助长你的能力不如你真正的能力。;-;当你不承认你得到的积极反馈时，它会无意识地导致你不像你真正有能力那样有能力，AcedMolina说。;-;1x2;1x3;2x3
Three months later , Holmes was indicted on federal wire fraud charges and stepped down from Theranos .;-;三个月后，霍姆斯因联邦电信欺诈指控被起诉，并从塞拉诺斯辞职。;-;三个月后，福尔摩斯因联邦电汇欺诈指控被起诉，并从Theranos辞职。;-;三个月后，福尔摩斯因联邦电汇欺诈指控被起诉，并从Theranos辞职。;-;1-2;1-3;2-3
According to the Commission , Google blocked its rivals from placing advertisements on third party websites by imposing exclusivity clauses in AdSense contracts .;-;委员会称，谷歌通过在AdSense合同中加入排他性条款，阻止其竞争对手在第三方网站上发布广告。;-;根据委员会的说法，谷歌通过在AdSense合同中施加排他性条款来阻止其竞争对手在第三方网站上投放广告。;-;根据该委员会的说法，谷歌通过在AdSense合同中强加排他性条款，阻止了其竞争对手在第三方网站上投放广告。;-;1-2;1-3;2-3
I 've taken on this kind of ' why not ' attitude .;-;我采取了这种“为什么不”的态度。;-;我已经采取了这种“为什么不”的态度。;-;我采取了这种"为什么不"的态度。;-;1-2;1-3;2-3
I think a lot of us were in denial , said another former employee who continued working at the company after the Wall Street Journal story .;-;另一位在《华尔街日报》报道后继续在该公司工作的前雇员说：“我认为我们中的很多人都否认了这一点。”。;-;我想我们很多人都否认了，另一位在华尔街日报报道后继续在公司工作的前雇员说。;-;我想我们很多人都在否认，"另一位在《华尔街日报》报道后继续在公司工作的前员工说。;-;1-2;1-3;2-3
Public concern about aircraft that have crashed is typically short lived , said aviation author and historian Brian Baum .;-;航空作家、历史学家布莱恩·鲍姆说，公众对坠毁飞机的担忧通常是短暂的。;-;航空作家和历史学家布莱恩鲍姆说，公众对坠毁飞机的担忧通常是短暂的。;-;公众对坠毁飞机的担忧通常是短暂的，航空作家和历史学家布莱恩鲍姆说。;-;1-2;1-3;2-3
You could interview for lots of jobs at the same time , said Fairweather , who left Amazon in 2018 to become the chief economist for the real estate website Redfin .;-;Fairweather于2018年离开亚马逊，成为房地产网站Redfin的首席经济学家，他说，你可以同时面试很多工作。;-;2018年离开亚马逊成为房地产网站Redfin的首席经济学家的费尔韦瑟说，你可以同时面试很多工作。;-;费尔韦瑟说，你可以同时面试很多工作，他于2018年离开亚马逊，成为房地产网站Redfin的首席经济学家。;-;1-2;1-3;2-3
The key to accepting praise at work is to show you received it and appreciate it .;-;在工作中接受表扬的关键是要表现出你接受了并感激它。;-;在工作中接受表扬的关键是表明你收到并欣赏它。;-;在工作中接受赞美的关键是表明你得到了它并欣赏它。;-;2-3;1x2;1x3
Because if you 're writing an economics paper , you 're studying things like the impact of the minimum wage , often without the luxury of running experiments .;-;因为如果你在写一篇经济学论文，你在研究诸如最低工资的影响之类的事情，通常没有进行实验的奢侈。;-;因为如果你正在写一篇经济学论文，你正在研究诸如最低工资的影响之类的东西，通常没有进行实验的奢侈。;-;因为如果你正在写一篇经济学论文，你正在研究诸如最低工资的影响之类的东西，而通常没有进行实验的奢侈。;-;1-2;1-3;2-3
Glossier ' s two brick and mortar stores are full of Instagram friendly decor throughout the space , which encourage visitors to take photos and share them on social media .;-;Glossier的两家实体店在整个空间内都有Instagram友好的装饰，鼓励游客拍照并在社交媒体上分享。;-;Glossier的两家实体店在整个空间都充满了Instagram友好的装饰，鼓励游客拍照并在社交媒体上分享。;-;Glossier的两家实体店在整个空间里都充满了Instagram友好的装饰，鼓励游客拍照并在社交媒体上分享。;-;1-2;1-3;2-3
Economists can come close to an answer , enabling the company to make better decisions about which benefits to include and which to scrap .;-;经济学家可以接近一个答案，使公司能够更好地决定哪些福利应该包括哪些福利，哪些应该取消。;-;经济学家可以接近答案，使公司能够更好地决定包括哪些利益和放弃哪些利益。;-;经济学家可以接近答案，使公司能够更好地决定哪些好处应该包括在内，哪些好处应该取消。;-;1x2;1x3;2x3
Google now says it has about 300 economists and statisticians on staff , though it would not give a more detailed breakdown .;-;谷歌现在表示，其员工中约有300名经济学家和统计学家，但不会给出更详细的分类。;-;谷歌现在表示，它拥有大约300名经济学家和统计学家，但它不会提供更详细的细分。;-;谷歌现在表示，它有大约300名经济学家和统计学家，尽管它不会给出更详细的细分。;-;1-2;1-3;2-3
The duration was reflected in the size of the fine , she added .;-;她补充说，罚款的数额反映了罚款的持续时间。;-;她补充说，持续时间反映在罚款的大小上。;-;她补充说，持续时间反映在罚款的大小上。;-;1-2;1-3;2-3
It eventually sold 1,831 of the jets , nearly twice as many as the rival DC 9 .;-;它最终售出了1831架，几乎是竞争对手DC9的两倍。;-;它最终售出了1,831架喷气式飞机，几乎是竞争对手DC9的两倍。;-;它最终售出了1，831架喷气式飞机，几乎是竞争对手DC9的两倍。;-;2-3;1x2;1x3
Sunday ' s announcement triggered immediate pushback from staff representatives , who occupy half the seats on Deutsche Bank ' s supervisory board .;-;周日的声明立即引起了员工代表的抵制，他们占据了德意志银行监事会的一半席位。;-;周日的声明立即引发了员工代表的反对，他们占据了德意志银行监事会的一半席位。;-;周日的声明立即引发了员工代表的抵制，他们占据了德意志银行监事会的一半席位。;-;1-2;1-3;2-3
But instead of feeling isolated , I 've found it to be helpful in certain cases , she said .;-;但她说，我发现在某些情况下，这并不是孤立的感觉，而是有帮助的。;-;但她说，我发现它在某些情况下很有帮助，而不是感到孤立。;-;但她说，我没有感到孤立，而是发现它在某些情况下是有帮助的。;-;2-3;1x2;1x3
But any combination would be opposed by the powerful labor unions and closely examined by EU regulators who may prefer a cross border merger that could strengthen Europe ' s financial system .;-;但任何合并都会遭到强大的工会的反对，并受到欧盟监管机构的密切审查，他们可能更愿意进行跨境合并，以加强欧洲的金融体系。;-;但任何合并都将遭到强大的工会的反对，并受到欧盟监管机构的密切审查，他们可能更喜欢能够加强欧洲金融体系的跨境合并。;-;但任何组合都会遭到强大的工会的反对，并受到欧盟监管机构的密切关注，他们可能更喜欢跨境合并，以加强欧洲的金融体系。;-;1-2;1-3;2-3
She enrolled in a public speaking class , studied how to project her voice more and even tried out — and toured with — an a capella group .;-;她参加了一个公共演讲班，学习如何更有效地表达自己的声音，甚至还参加了五车二合唱团的测试和巡回演出。;-;她参加了一个公开演讲课，学习如何更多地表达自己的声音，甚至尝试并与一个无伴奏合唱团一起巡回演出。;-;她报名参加了一个公开演讲班，研究了如何更多地投射自己的声音，甚至尝试了一个无伴奏合唱团，并与他们一起巡回演出。;-;1x2;1x3;2x3
It can give employee ' s clarity , increase productivity and morale and help to avoid any tension or confusion .;-;它可以让员工清晰明了，提高工作效率和士气，有助于避免任何紧张或困惑。;-;它可以使员工清晰，提高生产力和士气，并有助于避免任何紧张或混乱。;-;它可以给员工的清晰度，提高生产力和士气，并有助于避免任何紧张或混乱。;-;1-2;1x3;2x3
Another ProPublica report in November 2017 found discriminatory advertisements were getting through Facebook ' s systems .;-;ProPublica2017年11月的另一份报告发现，歧视性广告正在通过Facebook的系统传播。;-;2017年11月的另一份ProPublica报告发现，歧视性广告正在通过Facebook的系统。;-;ProPublica在2017年11月的另一份报告发现，歧视性广告正在通过Facebook的系统进入。;-;1-2;1-3;2-3
Those doors right now are closed , the former employee said .;-;这位前雇员说，这些门现在已经关上了。;-;这位前雇员说，这些门现在都关上了。;-;这些门现在已经关上了，这位前员工说。;-;1-2;1-3;2-3
The most junior economists can present their research before senior vice presidents , and they 're evaluated on how their recommendations impact the company ' s bottom line .;-;最初级的经济学家可以在高级副总裁面前展示他们的研究，他们的建议如何影响公司的底线。;-;最初级的经济学家可以在高级副总裁面前展示他们的研究，并评估他们的建议如何影响公司的底线。;-;最初级的经济学家可以在高级副总裁面前展示他们的研究成果，并评估他们的建议如何影响公司的底线。;-;2-3;1x2;1x3
At its peak in 2014 , the blood testing startup was a darling of Silicon Valley .;-;在2014年的巅峰时期，这家血液检测初创公司是硅谷的宠儿。;-;在2014年的鼎盛时期，这家血液检测初创公司是硅谷的宠儿。;-;在2014年的巅峰时期，这家血液检测初创公司是硅谷的宠儿。;-;1-2;1-3;2-3
In 2010 , Weiss started a popular blog called Into the Gloss with beauty tips , trends and tutorials .;-;2010年，韦斯开设了一个名为“进入光泽”的热门博客，提供美容小贴士、潮流和教程。;-;2010年，Weiss开设了一个名为IntotheGloss的热门博客，其中包含美容秘诀、趋势和教程。;-;2010年，Weiss开设了一个名为"走进光泽"的热门博客，提供美容技巧，趋势和教程。;-;1-2;1-3;2-3
The Bank of England has said the fallout from that scenario would be worse than the 2008 financial crisis .;-;英格兰银行表示，这种情况的后果将比2008年金融危机更严重。;-;英格兰银行表示，这种情况的后果将比2008年金融危机更严重。;-;英国央行表示，这种情况的后果将比2008年的金融危机更糟。;-;1-2;1-3;2-3
The move to abolish the rule was seen by many as a crucial step away from the perceived boys ' club culture on Sand Hill Road .;-;许多人认为，废除这项规定的举措是远离人们所认为的沙山路男孩俱乐部文化的关键一步。;-;许多人认为，废除这项规则的举动是远离沙山路男孩俱乐部文化的关键一步。;-;废除该规则的举动被许多人视为远离沙丘路上男孩俱乐部文化的关键一步。;-;1-2;1-3;2-3
During a four month period in late 1965 and early 1966 , four new Boeing 727 jets crashed .;-;在1965年末和1966年初的四个月期间，四架新的波音727飞机坠毁。;-;在1965年末和1966年初的四个月期间，四架新的波音727喷气式飞机坠毁。;-;在1965年底和1966年初的四个月期间，四架新的波音727喷气式飞机坠毁。;-;1-2;1-3;2-3
There were a lot of calls for grounding it , said Bill Waldock , professor at Embry Riddle Aeronautical University and head of the school ' s crash lab .;-;安布里·里德尔航空大学教授、该校坠机实验室负责人比尔·沃尔多克说，有很多人呼吁将其停飞。;-;安柏瑞德航空大学教授、该校碰撞实验室负责人比尔沃尔多克说，有很多人呼吁将其停飞。;-;有很多人呼吁将其停飞，安柏瑞德航空大学教授、该校坠机实验室负责人比尔·沃尔多克说。;-;1-2;1-3;2-3
In the summer of 2016 , months after the first Wall Street Journal report and more than a decade after the company ' s founding , Theranos still employed between 700 and 900 people .;-;2016年夏天，《华尔街日报》第一份报告发布几个月后，公司成立十多年后，Theranos仍然雇佣了700到900人。;-;2016年夏天，也就是《华尔街日报》第一篇报道后的几个月，以及公司成立十多年后，Theranos仍然雇佣了700到900名员工。;-;2016年夏天，在《华尔街日报》第一篇报道发布几个月后，在公司成立十多年后，Theranos仍然雇佣了700到900名员工。;-;1-2;1-3;2-3
But if panic persisted and airlines were unwilling to buy it , the future of Boeing would be in jeopardy .;-;但如果恐慌持续，航空公司不愿购买，波音的未来将岌岌可危。;-;但如果恐慌持续存在，航空公司不愿购买，波音的未来将岌岌可危。;-;但如果恐慌持续存在，航空公司不愿意购买它，波音的未来将处于危险之中。;-;1-2;1-3;2-3
May is now asking the European Union to delay Brexit until June 30 .;-;梅现在要求欧盟将英国脱欧推迟到6月30日。;-;梅现在要求欧盟将英国退欧推迟到6月30日。;-;特雷莎·梅现在要求欧盟将英国脱欧推迟到6月30日。;-;1-2;1-3;2-3
